City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Srandakan,ID,75.72,overcast clouds,-7.9386,110.2506,Puri Brata
7,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
9,Cockburn Town,TC,77.43,clear sky,21.4612,-71.1419,Osprey Beach Hotel
10,La Palma,US,79.2,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
13,Butaritari,KI,82.36,light rain,3.0707,172.7902,Isles Sunset Lodge
15,Hilo,US,76.73,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
17,Bengkulu,ID,83.44,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
18,Mahebourg,MU,78.26,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
20,Saint-Philippe,RE,78.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
21,Manaus,BR,77.49,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
25,Atuona,PF,78.08,clear sky,-9.8,-139.0333,Villa Enata
26,Geraldton,AU,84.61,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
27,Port Hedland,AU,95.05,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
36,Acapulco,MX,78.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
41,Rikitea,PF,79.18,clear sky,-23.1203,-134.9692,People ThankYou
46,Tha Bo,TH,78.69,broken clouds,17.85,102.5814,บ้านพักริมโขง รีสอร์ท
52,Karratha,AU,94.06,clear sky,-20.7377,116.8463,ibis Styles Karratha
56,Vaini,TO,86.16,few clouds,-21.2,-175.2,Keleti Beach Resort
62,Sao Filipe,CV,79.3,overcast clouds,14.8961,-24.4956,Hotel Xaguate
66,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
67,Catuday,PH,82.99,scattered clouds,16.2923,119.8062,Benjie's Kubo & Cottages
70,Prieska,ZA,75.74,clear sky,-29.6641,22.7474,Avenue GuestHouse
72,San Policarpo,PH,79.32,light rain,12.1791,125.5072,Agapita M. Nicart
77,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
86,Isangel,VU,87.91,broken clouds,-19.55,169.2667,Tanna Lodge
88,Kulhudhuffushi,MV,81.54,overcast clouds,6.6221,73.07,Haajy Guest House 1
96,Sabang,ID,79.25,light rain,5.8933,95.3214,Hotel Citra
108,Bubaque,GW,78.8,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
110,Sorong,ID,81.34,light rain,-0.8833,131.25,Waigo Splash Hotel
112,Kudat,MY,75.13,scattered clouds,6.8837,116.8477,Dream Garden Hotel
114,Bambous Virieux,MU,78.22,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
116,Samarai,PG,83.26,scattered clouds,-10.6167,150.6667,Nuli Sapi
123,Bandarbeyla,SO,75.67,scattered clouds,9.4942,50.8122,JABIR HOTEL
128,Maputo,MZ,75.22,broken clouds,-25.9653,32.5892,Pestana Rovuma
130,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
136,Hithadhoo,MV,81.18,overcast clouds,-0.6,73.0833,Scoop Guest House
137,Kribi,CM,78.3,scattered clouds,2.95,9.9167,La Grace Hôtel
151,Alibag,IN,77.07,few clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
155,Kapaa,US,78.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
163,Sampit,ID,77.4,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
164,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
167,Caravelas,BR,75.22,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
169,Stawell,AU,84.2,clear sky,-37.05,142.7667,Motel Stawell
175,Batang Berjuntai,MY,87.46,overcast clouds,3.3833,101.4167,Sime Darby Mill & Estate Bungalows
183,Linden,GY,77.14,scattered clouds,6.0,-58.3,Crimson Bat Hotel
190,Kavaratti,IN,80.35,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
196,Carnarvon,AU,87.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
202,Port Macquarie,AU,75.16,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
203,Nabire,ID,79.41,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
209,Sola,VU,84.87,heavy intensity rain,-13.8833,167.55,Leumerus Bungalows
228,Payo,ID,84.61,overcast clouds,-3.7508,103.6372,Mess keban agung
238,Soe,ID,76.82,overcast clouds,-9.8607,124.284,Dena Hotel
241,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Poutur Pousada
247,San Pedro,PH,89.31,few clouds,14.35,121.0167,Villa Veronica Resort Private Pool
252,Emerald,AU,90.34,clear sky,-23.5333,148.1667,The Irish Village
254,Meulaboh,ID,82.87,overcast clouds,4.1363,96.1285,Kost Pria
257,Pizarro,CO,76.06,light rain,4.9533,-77.366,Hotel Limonar
258,Quatre Cocos,MU,78.1,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
265,Biak,ID,80.26,overcast clouds,-0.9131,122.8766,Penginapan Kim
273,Broken Hill,AU,82.11,clear sky,-31.95,141.4333,Royal Exchange Hotel
274,Le Port,RE,78.8,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
275,Faanui,PF,82.22,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
286,Ahipara,NZ,78.94,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
302,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
315,Bambanglipuro,ID,76.6,overcast clouds,-7.95,110.2833,Puri Brata
319,Codrington,AU,77.54,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
322,Noumea,NC,84.99,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
324,Matara,LK,81.66,light rain,5.9485,80.5353,Amaloh Boutique Resort
330,Bundaberg,AU,83.21,light rain,-24.85,152.35,Takalvan Motel
334,Rio Grande,BR,75.31,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
335,Port Blair,IN,82.44,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
340,Mitsamiouli,KM,79.52,light rain,-11.3847,43.2844,Foyer ADM
341,Alofi,NU,84.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
342,Perth,AU,84.04,clear sky,-31.9333,115.8333,Beatty Lodge
347,Kavieng,PG,83.79,broken clouds,-2.5744,150.7967,Nusa Island Retreat
348,Labuhan,ID,78.85,overcast clouds,-6.8844,112.2051,DoubleFAG
349,Madang,PG,84.56,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
356,Alyangula,AU,87.67,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
357,Kilindoni,TZ,80.02,broken clouds,-7.9139,39.6668,Bustani B&B
364,Pyapon,MM,84.99,clear sky,16.2833,95.6833,Aung Naing Thu Motel
365,Majene,ID,76.37,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
375,Souillac,MU,79.36,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
380,Malakal,SS,75.42,broken clouds,9.5334,31.6605,Nile Palace Hotel
384,Opotiki,NZ,76.39,overcast clouds,-38.0833,177.2833,Agassiz House Opotiki Backpackers
385,Denpasar,ID,83.86,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
387,Malang,ID,77.16,overcast clouds,-7.9797,112.6304,Hotel Tugu Malang
388,Hobyo,SO,76.66,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
