City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Srandakan,ID,-7.9386,110.2506,75.72,62,100,1.03,overcast clouds
1,Palizada,MX,18.25,-92.0833,69.15,94,5,3.98,clear sky
2,Miranda,CO,3.2499,-76.2281,71.73,96,100,1.36,overcast clouds
3,Verkhoyansk,RU,67.5447,133.385,-16.55,90,78,1.16,broken clouds
4,Bose,IT,45.4612,8.0137,42.24,51,12,4.27,few clouds
5,Avera,US,33.194,-82.5271,55.27,65,0,6.49,clear sky
6,Aksha,RU,50.2814,113.2867,-0.71,68,100,5.46,overcast clouds
7,Bathsheba,BB,13.2167,-59.5167,77.61,53,20,21.85,few clouds
8,Akdepe,TM,42.0551,59.3788,33.8,65,66,5.93,broken clouds
9,Cockburn Town,TC,21.4612,-71.1419,77.43,84,3,22.93,clear sky
10,La Palma,US,33.8464,-118.0467,79.2,46,0,5.75,clear sky
11,Talnakh,RU,69.4865,88.3972,-10.17,84,98,9.71,overcast clouds
12,Busselton,AU,-33.65,115.3333,67.05,64,58,15.03,broken clouds
13,Butaritari,KI,3.0707,172.7902,82.36,77,90,16.8,light rain
14,Swellendam,ZA,-34.0226,20.4417,66.38,78,3,3.47,clear sky
15,Hilo,US,19.7297,-155.09,76.73,71,100,5.75,overcast clouds
16,Lasa,IT,46.6166,10.7002,31.62,38,4,1.83,clear sky
17,Bengkulu,ID,-3.8004,102.2655,83.44,62,100,4.03,overcast clouds
18,Mahebourg,MU,-20.4081,57.7,78.26,94,40,5.75,light intensity shower rain
19,Bethel,US,41.3712,-73.414,49.71,63,0,5.75,clear sky
20,Saint-Philippe,RE,-21.3585,55.7679,78.39,69,64,5.68,broken clouds
21,Manaus,BR,-3.1019,-60.025,77.49,100,40,3.44,scattered clouds
22,Arraial Do Cabo,BR,-22.9661,-42.0278,74.59,84,100,0.94,overcast clouds
23,Picos,BR,-7.0769,-41.4669,71.82,93,74,1.1,broken clouds
24,Alta Floresta,BR,-9.8756,-56.0861,71.65,96,97,1.77,overcast clouds
25,Atuona,PF,-9.8,-139.0333,78.08,75,8,12.77,clear sky
26,Geraldton,AU,-28.7667,114.6,84.61,58,30,16.11,scattered clouds
